Date,current_pure_regime,regime_plus_trend,buy_and_hold
2018-07-30,128314.0521629745,131247.6452403329,124547.67480284172
2018-07-31,128849.83772809566,131795.6802574688,124999.89980794778
2018-08-01,128047.02260753096,130974.51069449981,124322.65841828518
2018-08-02,128315.58153782267,131249.20958066918,124549.39550470811
2018-08-03,128889.11521965305,131835.85573467455,125033.48238757622
2018-08-06,129029.9741000194,131979.93501552986,125152.30428314873
2018-08-07,129552.62958353928,132514.5397632375,125593.12897331982
2018-08-08,129491.50281168858,132452.01547434388,125541.5997889161
2018-08-09,129488.1998005593,132448.63694778646,125538.81521606744
2018-08-10,129233.75321461576,132188.37305087424,125324.30567180798
2018-08-13,128257.54004437722,131189.8411076723,124501.10413596875
2018-08-14,128498.74436887544,131436.5599905891,124704.70402950095
2018-08-15,127079.36130213864,129984.72613402446,123506.9001056859
2018-08-16,127787.73040070463,130709.29039320411,124105.55696825472
2018-08-17,128304.48719110881,131237.86158832433,124541.96267684759
2018-08-20,128893.67615005441,131840.52093981137,125039.27660182367
2018-08-21,129066.52716784601,132017.32378158998,125185.08715008272
2018-08-22,129772.70684748024,132739.6485660247,125780.68942474572
2018-08-23,129126.28512226904,132078.44795832815,125235.874857724
2018-08-24,130360.46356502653,133340.84293134764,126276.73939731135
2018-08-27,131136.90517193015,134135.03601351517,126930.75547183656
2018-08-28,130730.04203099292,133718.8709226078,126588.3092004307
2018-08-29,131632.87884737426,134642.34893759424,127348.51226964877
2018-08-30,131242.11922240278,134242.6555309254,127019.78075560821
2018-08-31,131050.29691016763,134046.44766155313,126858.3451208705
2018-09-04,130646.5531974052,133633.47331706472,126467.5160997878
2018-09-05,130601.64819317163,133587.54166760144,126429.71730663918
2018-09-06,130079.00720759129,133052.95174929398,125989.76445915656
2018-09-07,130079.36126864668,133053.31390510628,125990.06265965814
2018-09-10,130277.57788529588,133256.06226932807,126157.00639046489
2018-09-11,130819.2727025291,133810.14163945388,126613.146790856
2018-09-12,131159.35218908035,134157.99622787966,126899.35999677278
2018-09-13,131302.8084014057,134304.73222246024,127020.05288727322
2018-09-14,131098.80026104546,134096.05992522708,126848.440777409
2018-09-17,130840.04041843329,133831.38415937664,126630.72723016329
2018-09-18,130971.36443116548,133965.71058071606,126741.24821229819
2018-09-19,131277.67535279377,134279.02456696634,126999.00272034487
2018-09-20,132166.2416376032,135187.90578890036,127746.4858980308
2018-09-21,131877.18166440792,134892.23715264743,127503.53498269648
2018-09-24,132286.85010799379,135311.27168272078,127847.95409242726
