Date,current_shared_signal,asset_specific_signal,buy_and_hold
2024-02-21,247987.51333784987,247317.61701072962,226312.84711271935
2024-02-22,251091.5371572773,250377.03647666037,228776.08638117072
2024-02-23,251553.6307976017,250737.26231830477,229142.195631422
2024-02-26,251238.28347848446,250445.37558635042,228892.41096026564
2024-02-27,250893.76351995533,250154.92858213492,228619.4741435414
2024-02-28,251141.83502068245,250354.62218115543,228816.03742282692
2024-02-29,252660.35631018342,251815.37820400385,230019.10616121083
2024-03-01,256275.85281410045,255371.7133553839,232881.28596415138
2024-03-04,255894.42965640684,254991.63585598604,232579.89091087168
2024-03-05,256164.17418064873,255260.42872338838,232793.08056611256
2024-03-06,258292.95949225072,257381.70369494773,234475.31183231832
2024-03-07,260400.1322755337,259481.44238704038,236138.67416125003
2024-03-08,260139.60667833526,259221.83592236985,235933.23724861702
2024-03-11,260297.8511921448,259379.52215061526,236058.0369279512
2024-03-12,260260.12268341574,259341.9267478074,236028.2846647483
2024-03-13,260504.11025657735,259585.05353447696,236220.69406546993
2024-03-14,260125.55864356383,259207.83744896916,235922.20349094976
2024-03-15,258685.8033368563,257773.16158915215,234786.7309464853
2024-03-18,260073.69094072748,259156.15273503424,235882.09228992992
2024-03-19,261075.01200089284,260153.94114133698,236671.8139691684
2024-03-20,262985.1416522086,262057.33186828645,238177.5409715294
2024-03-21,263806.32592538244,262875.6190089521,238824.25514358678
2024-03-22,263854.1373554338,262923.2617606047,238861.8931940187
2024-03-25,263976.8948356704,263045.5861532893,238958.52789044252
2024-03-26,263577.9015497336,262648.0005129407,238644.45940117937
2024-03-27,265962.7162501848,265024.40160341375,240522.04246639198
2024-03-28,267251.4308174869,266308.56959452253,241535.47074998548
2024-04-01,267152.86753522395,266210.35404284636,241458.0106244751
2024-04-02,268003.7359668617,267058.2206164676,242126.73376025198
2024-04-03,268747.4889531429,267799.349647292,242711.02957772897
2024-04-04,267354.3216011496,266411.09738020314,241616.9458834403
2024-04-05,269765.2706513718,268813.5406186396,243511.60190365638
2024-04-08,269778.7856434875,268827.0079299555,243522.21034490984
2024-04-09,271322.62899503065,270365.40461269673,244734.02492395567
2024-04-10,268727.77949314355,267779.70972213306,242698.75192900744
2024-04-11,270894.06606870017,269938.35365344386,244400.02116009325
2024-04-12,267822.4648451675,266877.58901805297,241990.2891938991
2024-04-15,265882.1793371616,264944.1488240699,240465.81970925938
2024-04-16,264939.31123728305,264004.60715640924,239724.30934461713
2024-04-17,264031.6799848613,263100.17802084814,239010.17935038568
2024-04-18,263405.2068757405,262475.91510457837,238517.04534406282
2024-04-19,262726.1550239502,261799.25894308422,237982.3576821686
2024-04-22,262638.73036315205,261712.14271589238,237913.4960093866
2024-04-23,264364.3265367577,263431.65099798096,239272.7531939288
2024-04-24,264008.131025243,263076.7121417986,238992.41582166305
2024-04-25,263560.87217145594,262631.0312141935,238640.3467113898
2024-04-26,263901.08129191445,262970.0400791982,238908.20867433134
2024-04-29,265612.6861717943,264675.60642874974,240255.60568025068
2024-04-30,261053.67595889152,260132.6803727463,236669.71174020725
2024-05-01,260274.04578705976,259355.80073083699,236055.09601663626
2024-05-02,261778.43294589728,260755.57270542532,237241.53195907173
2024-05-03,264171.77910781617,262982.34368612827,239127.63116924302
2024-05-06,266733.403417722,265532.4342633184,241143.9580332717
2024-05-07,266597.96966483543,265397.61030192254,241037.4878378602
2024-05-08,266005.14865174686,264807.45846990275,240571.4153111688
2024-05-09,268961.21551058773,267750.2156154856,242896.1339232782
2024-05-10,269089.7902651682,267878.21146126685,242997.10309816527
2024-05-13,268679.320232559,267469.58957306575,242674.7829221948
2024-05-14,270607.2251691489,269388.8141031831,244188.9652877282
2024-05-15,274480.5700516981,273244.7192212757,247228.27511649983
2024-05-16,273536.96928771154,272305.3670268238,246489.21974924646
2024-05-17,275155.540202029,273916.6503134298,247757.50163837825
2024-05-20,275224.29150506697,273985.092063209,247811.33253885436
2024-05-21,275299.4925944452,274059.9545591168,247870.21157502633
2024-05-22,272743.9214229521,271515.88986603817,245869.38675313367
2024-05-23,269278.625905822,268066.1968680288,243152.9986855277
2024-05-24,270465.9256242718,269248.1507605692,244085.26560037784
2024-05-28,271296.41231214255,270074.8981758835,244736.98978890348
2024-05-29,268415.8097664343,267207.265564796,242477.34037538993
2024-05-30,268254.2151600198,267046.39853931183,242350.402247706
2024-05-31,270528.4721744267,269310.41569441167,244137.04981559765
2024-06-03,270924.1325844284,269641.36064444174,244494.11154906414
2024-06-04,270363.6713558061,269156.1706872354,244054.2981597471
2024-06-05,273797.6042614752,272479.11741486157,246749.75318863
2024-06-06,274618.9241776896,273236.0625117818,247393.39107061652
2024-06-07,270397.51549451315,269328.4099532844,244086.52054764304
2024-06-10,271178.4620587419,270032.1912389715,244699.52633959346
2024-06-11,272077.98190179106,270904.767508762,245405.34127353557
2024-06-12,273356.57640066685,272156.216462506,246408.1673180453
2024-06-13,273731.2968194814,272595.8348251012,246701.88838049982
2024-06-14,274909.41108036455,273663.0806152273,247625.17723209123
2024-06-17,274796.4987584034,273593.30309947167,247536.73724103023
2024-06-18,276404.7289112802,275161.6007392602,248796.47117243818
2024-06-20,277483.9446892794,276132.9063585192,249641.1842015733
2024-06-21,275678.8313632675,274464.9277137006,248229.0206231716
2024-06-24,277141.65731992555,275888.7259762467,249374.3857404357
2024-06-25,278086.69072732964,276870.55773910333,250113.8196356426
2024-06-26,276817.0416544094,275683.11135657557,249120.8331355027
2024-06-27,278329.1094283241,277095.22325429367,250304.12163016954
2024-06-28,276682.3722249078,275455.01345170353,249016.35897080353
2024-07-01,276165.5916800531,274919.0019187084,248611.9184105924
2024-07-02,277320.57961786934,276069.15929901454,249516.0507125983
2024-07-03,280017.70367710193,278660.7486448328,251626.23056127108
2024-07-05,281682.35734214226,280204.5882248722,252926.9884634342
2024-07-08,280567.6285744641,279199.9611210655,252056.61248754317
2024-07-09,279797.1049706529,278433.19354591786,251454.6788122289
2024-07-10,282110.9600312905,280735.7693856617,253262.9135799739
2024-07-11,282680.62392259366,281302.6563679983,253707.6190707457
2024-07-12,283721.3961397372,282338.3551905559,254519.8795416443
2024-07-15,284654.2886681808,283266.70019954705,255247.59800739618
2024-07-16,287767.4201052269,286364.6562274904,257675.0103128713
2024-07-17,285515.85508801194,284124.0667893503,255921.86735784242
2024-07-18,284426.942050428,283040.4618157389,255073.1315543831
2024-07-19,280350.9516906634,278984.34046004916,251894.57978087632
2024-07-22,281364.9550031227,279993.40086681704,252686.8226177734
2024-07-23,280127.90320263547,278762.37925411126,251720.7658746178
2024-07-24,276343.48227761267,275296.3848612553,248763.67773971317
2024-07-25,276175.2934155309,275219.9103198125,248632.02280719948
2024-07-26,278648.8649347993,277600.2456845044,250568.4397356372
2024-07-29,278397.9961888145,277333.59194647294,250372.27641304384
2024-07-30,279221.9176507126,278268.6077045842,251016.60605067242
2024-07-31,284214.6005015451,282997.1954579445,254919.52099451164
2024-08-01,281140.3019366632,280141.70314838213,252521.76540948404
2024-08-02,280370.2640278725,279353.3629179496,251830.11312476866
2024-08-05,275637.9752451012,274380.57990796317,247579.54531353357
2024-08-06,274705.81920013484,273343.0694459111,246742.27762729107
2024-08-07,274050.9643588039,272795.0733661184,246154.08340724965
2024-08-08,278564.54156480246,277572.70247520786,250208.20327736184
2024-08-09,280241.05382475245,279331.50165857346,251714.05580969848
2024-08-12,281626.65159317065,280866.84880693414,252958.60734577538
2024-08-13,283715.2828046495,282856.21359975706,254834.62738693907
2024-08-14,284330.49553937,283478.83529766777,255387.21484880007
2024-08-15,286813.18039997655,286033.38954120217,257617.17604481886
2024-08-16,288230.0587973302,287598.0505760256,258889.82401384218
2024-08-19,289885.8785822676,289262.39111713617,260377.09045131848
2024-08-20,288412.60347844224,287534.94559264457,259053.78665037276
2024-08-21,288470.5133399536,287526.217214356,259105.80160647383
2024-08-22,286285.3628391966,285311.5985851677,257143.08740884555
2024-08-23,289344.59878074925,288577.9383031756,259890.90995667456
2024-08-26,289921.14220747637,289365.8885231538,260408.7644334232
2024-08-27,289678.9987015914,289065.14173554286,260191.26980470115
2024-08-28,287636.0765406759,286880.12865474407,258356.3058841432
2024-08-29,288461.65512300667,287867.0199880994,259097.84510729378
2024-08-30,288580.92136361176,287910.61035703233,259204.97070054343
2024-09-03,285126.55860576715,284424.6496741332,256102.2430732102
2024-09-04,284935.0309546414,284244.5713669711,255930.211883609
2024-09-05,285202.12981336814,284563.77313468396,256170.12154750247
2024-09-06,282019.06002212723,281283.79200913146,253311.07075482444
2024-09-09,285497.1478041473,284466.74529147585,256027.62516745922
2024-09-10,284746.6618322948,283951.00571144826,255442.39083964913
2024-09-11,286034.4648668298,285134.7813562699,256446.97408982177
2024-09-12,288988.15844816784,287877.49443169805,258749.72420459893
2024-09-13,290425.39942276623,289276.73377013125,259868.72809852668
2024-09-16,291772.8879698574,290535.43267964496,260917.17554853827
2024-09-17,292015.32063533226,290658.5536675022,261105.6927702318
2024-09-18,290410.22992513364,289068.1244172531,259857.69892336446
2024-09-19,294883.3788384748,293193.8632957873,263338.1793334443
2024-09-20,294812.64243415033,293195.6270299662,263283.2494504312
2024-09-23,296378.8211995086,294570.4178416974,264499.49318779254
2024-09-24,297661.0361326161,295825.5270048768,265494.53348230827
2024-09-25,295576.26072149904,293918.2493808308,263877.58929294714
2024-09-26,295695.33387872804,294121.75706150214,263970.0269620746
2024-09-27,296853.54563276056,295086.6051050577,264869.11097042635
2024-09-30,297265.9089540559,295365.4981220388,265189.05297525076
2024-10-01,298492.4431252814,296502.7896564865,266140.51683745126
2024-10-02,298964.0146737521,296853.2897836323,266506.13470360375
2024-10-03,298691.39949023037,296504.9161316173,266294.81475623796
2024-10-04,300411.88338772475,298049.53279530944,267628.6210557113
2024-10-07,298591.28361710685,296204.5686954491,266218.2542051981
2024-10-08,298051.91051161976,295905.535434965,265800.0848986651
2024-10-09,298331.1523174838,296179.13037465897,266016.62872320577
2024-10-10,298958.3280390766,296725.3652061958,266502.92570874805
2024-10-11,300212.6955974517,297936.38725409197,267475.26603577565
2024-10-14,301558.40086697816,299237.9035475138,268517.839547535
2024-10-15,299091.2008055603,297059.5530302418,266607.51023582614
2024-10-16,300209.7803982145,298147.57918839337,267474.54756175366
2024-10-17,299405.70647859725,297372.0087159438,266851.5938751956
2024-10-18,300709.9944381257,298692.6405002319,267862.4407493495
2024-10-21,299547.5313431702,297532.7495429009,266962.02041759825
2024-10-22,300752.1986912952,298683.22723378113,267895.603631804
2024-10-23,297792.7967162668,295776.1054916532,265603.348812231
2024-10-24,299074.92241667956,297049.5484714717,266597.72822311206
2024-10-25,299168.256382155,297142.250367296,266670.074856003
2024-10-28,298868.3565646894,296844.3815100713,266437.6207972214
2024-10-29,299557.14810513804,297528.50846537703,266971.5769259238
2024-10-30,299062.8973397275,297037.6048298915,266588.54510981106
2024-10-31,295077.2107626321,293078.90983631567,263499.07319370756
2024-11-01,293567.0257324764,291578.95197394723,262326.4033877901
2024-11-04,296519.06355535594,294498.5252171845,264620.22061094164
2024-11-05,298930.96701229835,296874.0755493503,266491.90443461784
2024-11-06,299714.9316796152,298167.2028082692,267099.635956368
2024-11-07,303390.5210518741,301567.9479296392,269947.99060936435
2024-11-08,304165.2019457047,302284.3098781347,270547.371780387
2024-11-11,301838.9739232926,300229.4389827953,268748.13535400457
2024-11-12,299788.3889722957,298402.5765223681,267160.5025299532
2024-11-13,299025.6478457202,297818.52912924514,266569.4354562322
2024-11-14,298369.9377809771,297137.03872592683,266061.1403577703
2024-11-15,294840.39717493765,293661.5656036774,263324.31725833076
2024-11-18,297568.04431443574,296195.0941991121,265442.65071901
2024-11-19,298295.4292650116,296794.2170668,266006.8738490692
2024-11-20,299423.59325418546,297895.02458963305,266881.697776909
2024-11-21,301483.53621462616,299876.84290031705,268478.27573243174
2024-11-22,302662.40857031604,300928.4702715425,269391.15741467424
